annee,indicateur,valeur,famille
2000,Accès à l'électricité (%),17.0,Infrastructure
2001,Accès à l'électricité (%),19.6,Infrastructure
2002,Accès à l'électricité (%),21.3,Infrastructure
2003,Accès à l'électricité (%),23.0,Infrastructure
2004,Accès à l'électricité (%),24.8,Infrastructure
2005,Accès à l'électricité (%),26.5,Infrastructure
2006,Accès à l'électricité (%),27.9,Infrastructure
2007,Accès à l'électricité (%),30.0,Infrastructure
2008,Accès à l'électricité (%),31.8,Infrastructure
2009,Accès à l'électricité (%),33.7,Infrastructure
2010,Accès à l'électricité (%),30.8,Infrastructure
2011,Accès à l'électricité (%),39.7,Infrastructure
2012,Accès à l'électricité (%),39.1,Infrastructure
2013,Accès à l'électricité (%),41.0,Infrastructure
2014,Accès à l'électricité (%),45.7,Infrastructure
2015,Accès à l'électricité (%),44.7,Infrastructure
2016,Accès à l'électricité (%),46.8,Infrastructure
2017,Accès à l'électricité (%),48.0,Infrastructure
2018,Accès à l'électricité (%),50.0,Infrastructure
2019,Accès à l'électricité (%),52.5,Infrastructure
2020,Accès à l'électricité (%),54.1,Infrastructure
2021,Accès à l'électricité (%),55.7,Infrastructure
2022,Accès à l'électricité (%),57.2,Infrastructure
2023,Accès à l'électricité (%),59.2,Infrastructure
2000,Chômage (%),4.162,Économie
2001,Chômage (%),4.108,Économie
2002,Chômage (%),4.087,Économie
2003,Chômage (%),3.957,Économie
2004,Chômage (%),3.992,Économie
2005,Chômage (%),4.149,Économie
2006,Chômage (%),4.229,Économie
2007,Chômage (%),3.822,Économie
2008,Chômage (%),3.279,Économie
2009,Chômage (%),2.847,Économie
2010,Chômage (%),2.379,Économie
2011,Chômage (%),1.982,Économie
2012,Chômage (%),2.029,Économie
2013,Chômage (%),2.084,Économie
2014,Chômage (%),2.141,Économie
2015,Chômage (%),2.204,Économie
2016,Chômage (%),2.968,Économie
2017,Chômage (%),3.744,Économie
2018,Chômage (%),2.9,Économie
2019,Chômage (%),2.036,Économie
2020,Chômage (%),2.231,Économie
2021,Chômage (%),2.344,Économie
2022,Chômage (%),1.965,Économie
2023,Chômage (%),1.942,Économie
2000,"Internet, utilisateurs (%)",0.8,Numérique
2001,"Internet, utilisateurs (%)",0.9,Numérique
2002,"Internet, utilisateurs (%)",1.0,Numérique
2003,"Internet, utilisateurs (%)",1.2,Numérique
2004,"Internet, utilisateurs (%)",1.5,Numérique
2005,"Internet, utilisateurs (%)",1.799999952,Numérique
2006,"Internet, utilisateurs (%)",2.0,Numérique
2007,"Internet, utilisateurs (%)",2.200000048,Numérique
2008,"Internet, utilisateurs (%)",2.400000095,Numérique
2009,"Internet, utilisateurs (%)",2.599999905,Numérique
2010,"Internet, utilisateurs (%)",3.0,Numérique
